Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-09-26,2161.97,2177.07,2159.78,2172.47,19182144
2019-09-27,2175.46,2190.53,2170.54,2186.31,12465462
2019-09-30,2188.31,2188.77,2162.2,2173.29,16427282
2019-10-01,2175.98,2175.98,2148.55,2152.5,18577628
2019-10-02,2148.62,2148.62,2098.28,2098.28,18837261
2019-10-03,2091.15,2129.53,2076.45,2099.3,24703068
2019-10-04,2101.64,2124.78,2101.64,2121.16,17504852
2019-10-07,2126.9,2126.9,2110.11,2121.87,13984162
2019-10-08,2121.85,2135.75,2113.93,2131.83,19639702
2019-10-09,2136.45,2142.51,2126.6,2134.37,15836471
2019-10-10,2134.52,2136.96,2113.87,2122.99,18221562
2019-10-11,2126.11,2160.85,2125.66,2159.91,16428054
2019-10-14,2162.23,2163.42,2143.33,2148.53,15537342
2019-10-15,2156.95,2161.73,2146.79,2154.8,21337309
2019-10-16,2153.26,2167.1,2151.57,2156.06,22408366
2019-10-17,2160.43,2181.94,2154.17,2173.75,17705640
2019-10-18,2167.19,2168.49,2149.61,2164.75,18868273
2019-10-21,2164.82,2184.64,2160.39,2183.25,16187834
2019-10-22,2184,2212.19,2177.25,2212.15,19247868
2019-10-23,2206.89,2209.58,2198.75,2208.54,13809112
2019-10-24,2206.18,2216.33,2195.82,2208.36,19413477
2019-10-25,2206.68,2206.68,2172.44,2175.27,19871079
2019-10-28,2175.3,2215.02,2175.3,2211.8,17157695
2019-10-29,2210.54,2228.28,2203.17,2227.93,26631371
2019-10-30,2227.02,2230.72,2219.18,2227.38,17684847
2019-10-31,2235.68,2236.95,2188.99,2194.1,26160384
2019-11-04,2208.61,2264.06,2208.61,2264.06,30023628
2019-11-05,2263.6,2279.64,2257.69,2272.45,23389924
2019-11-06,2267.95,2269.98,2255.34,2255.34,17542217
2019-11-07,2260.78,2277.18,2260.78,2272.17,26649994
2019-11-08,2269.51,2269.51,2252.85,2255.46,31730968
2019-11-12,2259.75,2266.23,2245.4,2248.81,26636582
2019-11-13,2250.07,2250.31,2228.03,2235.52,33577800
2019-11-14,2235.67,2245.84,2223.56,2226.15,22560490
2019-11-15,2225.99,2238.11,2225.77,2233.87,13701198
2019-11-18,2239.37,2244.64,2220.25,2229.92,18060604
2019-11-19,2230.15,2232.47,2201.64,2207.25,21477461
2019-11-20,2204.41,2204.41,2175.68,2194.58,20561742
2019-11-21,2192.19,2192.19,2164.04,2179.53,20451018
2019-11-22,2179.44,2198.56,2176.33,2188.24,18022561
2019-11-25,2191.79,2204.09,2191.79,2197.54,16689797
2019-11-26,2199.69,2199.69,2177.73,2190.58,60977882
2019-11-27,2192.17,2196.5,2175.07,2181.33,17171821
2019-11-28,2178.33,2178.33,2159.9,2169.09,12147615
2019-11-29,2164.72,2170.47,2154.94,2158.94,14547586
2019-12-02,2163.48,2168.85,2121.16,2122.3,25649378
2019-12-03,2122.97,2123.47,2088.77,2089.92,21505028
2019-12-04,2093.25,2113.13,2078.1,2081.89,24257697
2019-12-05,2088,2103.69,2078.98,2092.12,22123687
2019-12-06,2087.82,2088.62,2055.68,2073.11,42639852
2019-12-09,2073.42,2073.42,2051.04,2066.55,17670932
2019-12-10,2066.43,2070.22,2040.78,2054.11,18788888
2019-12-11,2056.17,2064.5,2034.48,2047.34,23865513
2019-12-12,2056.35,2102.19,2055.54,2102.19,28647605
2019-12-13,2112.27,2123.34,2103.58,2106.51,27117185
2019-12-16,2107.39,2120.23,2104.16,2112.93,22019873
2019-12-17,2115.87,2139.47,2114.19,2132.25,32730028
2019-12-18,2137.7,2137.7,2112.21,2131.85,30289630
2019-12-19,2132.53,2134.36,2123.81,2133.72,21895451
2019-12-20,2131.61,2138.37,2123.99,2128.04,57317354
2019-12-23,2128.71,2142.91,2124.87,2142.54,15089151
2019-12-27,2145.77,2167.47,2145.77,2151.74,12081456
2019-12-30,2151.48,2160.23,2147.58,2150.09,11041276
2020-01-02,2161.55,2200.57,2161.42,2200.1,21369888
2020-01-03,2192.31,2192.31,2159.03,2173.97,20627251
2020-01-07,2171.72,2176.8,2143.11,2145.01,19556434
2020-01-08,2140.29,2140.29,2114.24,2115.99,20739943
2020-01-09,2132.02,2157.61,2132.02,2157.61,19887696
2020-01-10,2161.6,2167.91,2150.83,2167.91,16496395
2020-01-13,2170.86,2194.42,2167.33,2194.42,22067379
2020-01-14,2194.88,2194.88,2174.44,2182.96,29388336
2020-01-15,2180.55,2183.85,2158.36,2165.08,22745340
2020-01-16,2170.39,2179.43,2163.83,2173.74,20756877
2020-01-17,2172.14,2181.62,2147.94,2175.95,19782963
2020-01-20,2178.31,2183.84,2173.92,2178.06,15631644
2020-01-21,2174.93,2174.93,2152.62,2158.04,18927569
2020-01-22,2168.44,2172.76,2144.68,2146.56,27440004
2020-01-23,2144.56,2159.55,2141.62,2148.41,22561743
2020-01-24,2150.57,2166.31,2150.57,2154.28,17630461
2020-01-27,2141.68,2141.68,2083.69,2083.79,20984119
2020-01-28,2089.16,2105.76,2083.54,2098.04,17437951
2020-01-29,2099.3,2114.31,2090.41,2098.18,25644144
2020-01-30,2078.74,2093.68,2064.09,2079.98,23189128
2020-01-31,2085.41,2087.93,2052.68,2065.9,38290087
2020-02-03,2062.33,2077.58,2050.91,2072.88,25394120
2020-02-04,2082.19,2115.25,2081.81,2106.63,32249751
2020-02-05,2106.64,2133.91,2102.45,2122.91,21929283
2020-02-06,2128.24,2138.87,2105.59,2111.76,23411969
2020-02-07,2107.43,2110.2,2092.36,2110.2,18963173
2020-02-10,2108.67,2112.78,2087.72,2092.89,16134600
2020-02-11,2099.2,2114.89,2094.39,2107.4,21356120
2020-02-12,2120.01,2132.78,2115.92,2126.31,21380076
2020-02-13,2125.22,2125.22,2096.14,2120.07,19110037
2020-02-14,2126.64,2131.28,2111.22,2115.29,20893159
2020-02-17,2125.14,2131.6,2117.45,2121.14,14217981
2020-02-18,2112.15,2118.48,2103.76,2113.49,13882294
2020-02-19,2116.32,2122.67,2097.07,2115.18,21465468
2020-02-20,2115.39,2116.08,2098.12,2099.88,20482243
2020-02-21,2095.8,2106.18,2084.55,2088.53,16533483
2020-02-24,2070.66,2070.66,1997.84,2000.9,25032229
2020-02-25,2000.65,2007.34,1945.71,1945.71,32357249
2020-02-26,1942.66,1957.64,1906.06,1933.51,33550737
2020-02-27,1926.15,1927.44,1833.92,1850.61,33425936
2020-02-28,1817.79,1817.79,1735.37,1768.91,70088832
2020-03-02,1807.25,1840.57,1765.43,1807.7,40207534
2020-03-03,1827.36,1906.87,1827.36,1889.67,39063455
